"bundestagId","name","party","profileUrl","hasConstituencyOffice","officeCount","postalAddress","postalCode","city","rawLines"
"1046460","Özoğuz, Aydan","SPD","https://www.bundestag.de/abgeordnete/biografien/O/oezoguz_aydan-1046460","true","1","Wahlkreisbüro Hamburg-Wandsbek, Wandsbeker Zollstraße 15, 22041 Hamburg","22041","Hamburg","Wahlkreisbüro Hamburg-Wandsbek
Wandsbeker Zollstraße 15
22041 Hamburg"
"1046420","Orthey, Harald","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/O/orthey_harald-1046420","true","1","Koblenzer Str. 48, 56410 Montabaur","56410","Montabaur","Koblenzer Str. 48
56410 Montabaur"
"1046422","Ortleb, Josephine","SPD","https://www.bundestag.de/abgeordnete/biografien/O/ortleb_josephine-1046422","true","1","Mainzer Straße 5, 66111 Saarbrücken","66111","Saarbrücken","Mainzer Straße 5
66111 Saarbrücken"
"1049032","Oßner, Florian","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/O/ossner_florian-1049032","true","2","Bürgerbüro Landshut, Freyung 618, 84028 Landshut | Bürgerbüro Abensberg, Weinbergerstraße 2, 93326 Abensberg","84028 | 93326","Landshut | Abensberg","Bürgerbüro Landshut
Freyung 618
84028 Landshut
---
Bürgerbüro Abensberg
Weinbergerstraße 2
93326 Abensberg"
"1046428","Oster, Josef","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/O/oster_josef-1046428","true","1","Clemensstr.18, 56068 Koblenz","56068","Koblenz","Clemensstr.18
56068 Koblenz"
"1046440","Otte, Henning","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/O/otte_henning-1046440","false","0","","","",""
"1046442","Otte, Karoline","Bündnis 90/Die Grünen","https://www.bundestag.de/abgeordnete/biografien/O/otte_karoline-1046442","true","1","Johannistorstraße 2, 37520 Osterode am Harz","37520","Osterode am Harz","Johannistorstraße 2
37520 Osterode am Harz"
"1046446","Otten, Gerold","AfD","https://www.bundestag.de/abgeordnete/biografien/O/otten_gerold-1046446","false","0","","","",""
"1046474","Pantazis, Dr. Christos","SPD","https://www.bundestag.de/abgeordnete/biografien/P/pantazis_christos-1046474","true","1","Schloßstraße 8, 38100 Braunschweig","38100","Braunschweig","Schloßstraße 8
38100 Braunschweig"
"1046476","Pantisano, Luigi","Die Linke","https://www.bundestag.de/abgeordnete/biografien/P/pantisano_luigi-1046476","true","1","Wahlkreisbüro Stuttgart, Linkseck, Liebenzeller Str. 1, 70372 Stuttgart","70372","Stuttgart","Wahlkreisbüro Stuttgart
Linkseck
Liebenzeller Str. 1
70372 Stuttgart"
"1046490","Paul, Andreas","AfD","https://www.bundestag.de/abgeordnete/biografien/P/paul_andreas-1046490","false","0","","","",""
"1046492","Pauli, Denis","AfD","https://www.bundestag.de/abgeordnete/biografien/P/pauli_denis-1046492","false","0","","","",""
"1046496","Pauls, Dr. Thomas","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/P/pauls_thomas-1046496","true","1","Pfingstweide 39, 61169 Friedberg","61169","Friedberg","Pfingstweide 39
61169 Friedberg"
"1046498","Paus, Lisa","Bündnis 90/Die Grünen","https://www.bundestag.de/abgeordnete/biografien/P/paus_lisa-1046498","false","0","","","",""
"1046500","Pawlik, Natalie","SPD","https://www.bundestag.de/abgeordnete/biografien/P/pawlik_natalie-1046500","true","1","In den Kolonnaden 1, 61231 Bad Nauheim","61231","Bad Nauheim","In den Kolonnaden 1
61231 Bad Nauheim"
"1046504","Peick, Jens","SPD","https://www.bundestag.de/abgeordnete/biografien/P/peick_jens-1046504","true","1","Brüderweg 10-12, 44135 Dortmund","44135","Dortmund","Brüderweg 10-12
44135 Dortmund"
"1046508","Pellmann, Sören","Die Linke","https://www.bundestag.de/abgeordnete/biografien/P/pellmann_soeren-1046508","true","1","Stuttgarter Allee 18, 04209 Leipzig, Braustraße 15, 04107 Leipzig","04209","Leipzig","Stuttgarter Allee 18
04209 Leipzig
Braustraße 15
04107 Leipzig"
"1046514","Peterka, Tobias Matthias","AfD","https://www.bundestag.de/abgeordnete/biografien/P/peterka_tobias-1046514","true","1","Friedrichstraße 53, 95444 Bayreuth","95444","Bayreuth","Friedrichstraße 53
95444 Bayreuth"
"1046534","Piechotta, Dr. med. Paula","Bündnis 90/Die Grünen","https://www.bundestag.de/abgeordnete/biografien/P/piechotta_paula-1046534","true","2","Wahlkreisbüro Südgrün, Karl-Liebknecht Straße 91, 04275 Leipzig | Bürgerbüro Taucha, Leipziger Str. 44, 04425 Taucha","04275 | 04425","Leipzig | Taucha","Wahlkreisbüro Südgrün
Karl-Liebknecht Straße 91
04275 Leipzig
---
Bürgerbüro Taucha
Leipziger Str. 44
04425 Taucha"
"1046542","Pilsinger, Dr. med. Stephan","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/P/pilsinger_stephan-1046542","true","1","Verdistraße 135, 81247 München","81247","München","Verdistraße 135
81247 München"
"1046550","Pistorius, Boris","SPD","https://www.bundestag.de/abgeordnete/biografien/P/pistorius_boris-1046550","true","1","Odeonstraße 15/16, 30159 Hannover","30159","Hannover","Odeonstraße 15/16
30159 Hannover"
"1046560","Ploß, Dr. Christoph","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/P/ploss_christoph-1046560","true","1","Hamburg-Nord/Alstertal, Leinpfad 74, 22299 Hamburg","22299","Hamburg","Hamburg-Nord/Alstertal
Leinpfad 74
22299 Hamburg"
